Date,demand,stock_level,stockout,ordered
2010-06-27,10851,116142,0,39638
2010-06-28,33808,82334,0,39638
2010-06-29,20301,62033,0,39638
2010-06-30,20254,81417,0,39638
2010-07-01,16217,104838,0,39638
2010-07-02,8599,135877,0,39638
2010-07-03,0,175515,0,0
2010-07-04,5302,209851,0,0
2010-07-05,16155,233334,0,0
2010-07-06,11148,261824,0,0
2010-07-07,13410,288052,0,0
2010-07-08,11697,315993,0,0
2010-07-09,13024,342607,0,0
2010-07-10,0,342607,0,0
2010-07-11,5711,336896,0,0
2010-07-12,8861,328035,0,0
2010-07-13,8822,319213,0,0
2010-07-14,12055,307158,0,0
2010-07-15,27673,279485,0,0
2010-07-16,14039,265446,0,0
2010-07-17,0,265446,0,0
2010-07-18,9382,256064,0,0
2010-07-19,18120,237944,0,0
2010-07-20,11707,226237,0,0
2010-07-21,12555,213682,0,0
2010-07-22,13161,200521,0,0
2010-07-23,12828,187693,0,0
2010-07-24,0,187693,0,0
2010-07-25,11531,176162,0,0
2010-07-26,14216,161946,0,0
2010-07-27,14179,147767,0,39638
2010-07-28,13351,134416,0,39638
2010-07-29,12799,121617,0,39638
2010-07-30,8090,113527,0,39638
2010-07-31,0,113527,0,39638
2010-08-01,9702,103825,0,39638
2010-08-02,11762,92063,0,39638
2010-08-03,15479,116222,0,39638
2010-08-04,10923,144937,0,39638
2010-08-05,16453,168122,0,0
2010-08-06,9731,198029,0,0
2010-08-07,0,237667,0,0
2010-08-08,8116,269189,0,0
2010-08-09,100084,208743,0,0
2010-08-10,18426,229955,0,0
2010-08-11,7532,262061,0,0
2010-08-12,17702,244359,0,0
2010-08-13,12562,231797,0,0
2010-08-14,0,231797,0,0
2010-08-15,16575,215222,0,0
2010-08-16,10076,205146,0,0
2010-08-17,18060,187086,0,0
2010-08-18,22420,164666,0,0
2010-08-19,22152,142514,0,39638
2010-08-20,18521,123993,0,39638
2010-08-21,0,123993,0,39638
2010-08-22,13884,110109,0,39638
2010-08-23,12896,97213,0,39638
2010-08-24,18872,78341,0,39638
2010-08-25,17238,61103,0,39638
2010-08-26,16961,83780,0,39638
2010-08-27,6611,116807,0,39638
2010-08-28,0,156445,0,0
2010-08-29,8766,187317,0,0
2010-08-30,0,226955,0,0
2010-08-31,11038,255555,0,0
2010-09-01,11835,283358,0,0
2010-09-02,21102,301894,0,0
2010-09-03,30598,310934,0,0
2010-09-04,0,310934,0,0
2010-09-05,7222,303712,0,0
2010-09-06,14951,288761,0,0
2010-09-07,14936,273825,0,0
2010-09-08,9924,263901,0,0
2010-09-09,12862,251039,0,0
2010-09-10,9905,241134,0,0
2010-09-11,0,241134,0,0
2010-09-12,9278,231856,0,0
2010-09-13,27446,204410,0,0
2010-09-14,11071,193339,0,0
2010-09-15,21295,172044,0,0
2010-09-16,14409,157635,0,0
2010-09-17,11401,146234,0,39638
2010-09-18,0,146234,0,39638
2010-09-19,13649,132585,0,39638
2010-09-20,24263,108322,0,39638
2010-09-21,35197,73125,0,39638
2010-09-22,14065,59060,0,39638
2010-09-23,20697,38363,0,39638
2010-09-24,27622,50379,0,39638
2010-09-25,0,90017,0,39638
2010-09-26,13359,116296,0,39638
2010-09-27,124721,31213,0,39638
2010-09-28,22204,48647,0,39638
2010-09-29,20250,68035,0,39638
2010-09-30,22891,84782,0,39638
2010-10-01,21567,102853,0,39638
2010-10-02,0,142491,0,39638
2010-10-03,20272,161857,0,0
2010-10-04,22556,178939,0,0
2010-10-05,34051,184526,0,0
2010-10-06,21523,202641,0,0
2010-10-07,28267,214012,0,0
2010-10-08,39626,214024,0,0
2010-10-09,0,253662,0,0
2010-10-10,12412,241250,0,0
2010-10-11,23986,217264,0,0
2010-10-12,28703,188561,0,0
2010-10-13,39725,148836,0,39638
2010-10-14,37066,111770,0,39638
2010-10-15,20610,91160,0,39638
2010-10-16,0,91160,0,39638
2010-10-17,18342,72818,0,39638
2010-10-18,18509,54309,0,39638
2010-10-19,26330,27979,0,39638
2010-10-20,23589,44028,0,39638
2010-10-21,15231,68435,0,39638
2010-10-22,21524,86549,0,39638
2010-10-23,0,126187,0,39638
2010-10-24,15444,150381,0,39638
2010-10-25,14106,175913,0,0
2010-10-26,25020,190531,0,0
2010-10-27,15563,214606,0,0
2010-10-28,13564,240680,0,0
2010-10-29,22499,257819,0,0
2010-10-30,0,297457,0,0
2010-10-31,16347,320748,0,0
2010-11-01,12325,308423,0,0
2010-11-02,23626,284797,0,0
2010-11-03,23025,261772,0,0
2010-11-04,58902,202870,0,0
2010-11-05,19838,183032,0,0
2010-11-06,0,183032,0,0
2010-11-07,18341,164691,0,0
2010-11-08,18193,146498,0,39638
2010-11-09,32781,113717,0,39638
2010-11-10,33426,80291,0,39638
2010-11-11,33217,47074,0,39638
2010-11-12,20025,27049,0,39638
2010-11-13,0,27049,0,39638
2010-11-14,16462,10587,0,39638
2010-11-15,21740,28485,0,39638
2010-11-16,37378,30745,0,39638
2010-11-17,27327,43056,0,39638
2010-11-18,19353,63341,0,39638
2010-11-19,23892,79087,0,39638
2010-11-20,0,118725,0,39638
2010-11-21,17985,140378,0,39638
2010-11-22,16898,163118,0,0
2010-11-23,24919,177837,0,0
2010-11-24,24336,193139,0,0
2010-11-25,36908,195869,0,0
2010-11-26,14797,220710,0,0
2010-11-27,0,260348,0,0
2010-11-28,16290,283696,0,0
2010-11-29,36434,247262,0,0
2010-11-30,24650,222612,0,0
2010-12-01,24114,198498,0,0
2010-12-02,31077,167421,0,0
2010-12-03,11798,155623,0,0
2010-12-04,0,155623,0,0
2010-12-05,16241,139382,0,39638
2010-12-06,16115,123267,0,39638
2010-12-07,19404,103863,0,39638
2010-12-08,21497,82366,0,39638
2010-12-09,17383,64983,0,39638
2010-12-10,15927,49056,0,39638
2010-12-11,0,49056,0,39638
2010-12-12,10533,78161,0,39638
2010-12-13,15309,102490,0,39638
2010-12-14,17707,124421,0,39638
2010-12-15,18388,145671,0,39638
2010-12-16,29711,155598,0,0
2010-12-17,11395,183841,0,0
2010-12-18,0,223479,0,0
2010-12-19,3674,259443,0,0
2010-12-20,13419,285662,0,0
2010-12-21,11062,314238,0,0
2010-12-22,3074,350802,0,0
2010-12-23,3220,347582,0,0
2010-12-24,0,347582,0,0
2010-12-25,0,347582,0,0
2010-12-26,0,347582,0,0
2010-12-27,0,347582,0,0
2010-12-28,0,347582,0,0
2010-12-29,0,347582,0,0
2010-12-30,0,347582,0,0
2010-12-31,0,347582,0,0
2011-01-01,0,347582,0,0
2011-01-02,0,347582,0,0
2011-01-03,0,347582,0,0
2011-01-04,6950,340632,0,0
2011-01-05,18369,322263,0,0
2011-01-06,21534,300729,0,0
2011-01-07,15122,285607,0,0
2011-01-08,0,285607,0,0
2011-01-09,8125,277482,0,0
2011-01-10,9380,268102,0,0
2011-01-11,26072,242030,0,0
2011-01-12,7883,234147,0,0
2011-01-13,8309,225838,0,0
2011-01-14,21098,204740,0,0
2011-01-15,0,204740,0,0
2011-01-16,4086,200654,0,0
2011-01-17,8692,191962,0,0
2011-01-18,80605,111357,0,39638
2011-01-19,15869,95488,0,39638
2011-01-20,8171,87317,0,39638
2011-01-21,12694,74623,0,39638
2011-01-22,0,74623,0,39638
2011-01-23,5200,69423,0,39638
2011-01-24,9587,59836,0,39638
2011-01-25,14443,85031,0,39638
2011-01-26,10418,114251,0,39638
2011-01-27,10902,142987,0,39638
2011-01-28,9164,173461,0,0
2011-01-29,0,213099,0,0
2011-01-30,3383,249354,0,0
2011-01-31,12417,276575,0,0
2011-02-01,14995,301218,0,0
2011-02-02,8908,331948,0,0
2011-02-03,15427,356159,0,0
2011-02-04,11254,344905,0,0
2011-02-05,0,344905,0,0
2011-02-06,2036,342869,0,0
2011-02-07,8567,334302,0,0
2011-02-08,8664,325638,0,0
2011-02-09,6144,319494,0,0
2011-02-10,11767,307727,0,0
2011-02-11,9575,298152,0,0
2011-02-12,0,298152,0,0
2011-02-13,2723,295429,0,0
2011-02-14,12339,283090,0,0
2011-02-15,22082,261008,0,0
2011-02-16,15729,245279,0,0
2011-02-17,12747,232532,0,0
2011-02-18,8610,223922,0,0
2011-02-19,0,223922,0,0
2011-02-20,5218,218704,0,0
2011-02-21,20376,198328,0,0
2011-02-22,20921,177407,0,0
2011-02-23,12139,165268,0,0
2011-02-24,11558,153710,0,39638
2011-02-25,10038,143672,0,39638
2011-02-26,0,143672,0,39638
2011-02-27,4823,138849,0,39638
2011-02-28,8387,130462,0,39638
2011-03-01,11566,118896,0,39638
2011-03-02,8608,110288,0,39638
2011-03-03,19119,130807,0,39638
2011-03-04,12930,157515,0,0
2011-03-05,0,197153,0,0
2011-03-06,5026,231765,0,0
2011-03-07,11088,260315,0,0
2011-03-08,13811,286142,0,0
2011-03-09,11457,314323,0,0
2011-03-10,15222,338739,0,0
2011-03-11,9249,329490,0,0
2011-03-12,0,329490,0,0
2011-03-13,2733,326757,0,0
2011-03-14,16729,310028,0,0
2011-03-15,7918,302110,0,0
2011-03-16,12843,289267,0,0
2011-03-17,19025,270242,0,0
2011-03-18,13214,257028,0,0
2011-03-19,0,257028,0,0
2011-03-20,13473,243555,0,0
2011-03-21,9443,234112,0,0
2011-03-22,13484,220628,0,0
2011-03-23,13918,206710,0,0
2011-03-24,18164,188546,0,0
2011-03-25,13325,175221,0,0
2011-03-26,0,175221,0,0
2011-03-27,4495,170726,0,0
2011-03-28,11574,159152,0,0
2011-03-29,24183,134969,0,39638
2011-03-30,20055,114914,0,39638
2011-03-31,14930,99984,0,39638
2011-04-01,18279,81705,0,39638
2011-04-02,0,81705,0,39638
2011-04-03,5646,76059,0,39638
2011-04-04,12861,63198,0,39638
2011-04-05,15175,87661,0,39638
2011-04-06,8011,119288,0,39638
2011-04-07,10063,148863,0,39638
2011-04-08,12272,176229,0,0
2011-04-09,0,215867,0,0
2011-04-10,5603,249902,0,0
2011-04-11,13127,276413,0,0
2011-04-12,14577,301474,0,0
2011-04-13,18752,322360,0,0
2011-04-14,18507,343491,0,0
2011-04-15,11088,332403,0,0
2011-04-16,0,332403,0,0
2011-04-17,8136,324267,0,0
2011-04-18,26219,298048,0,0
2011-04-19,12902,285146,0,0
2011-04-20,17851,267295,0,0
2011-04-21,17075,250220,0,0
2011-04-22,0,250220,0,0
2011-04-23,0,250220,0,0
2011-04-24,0,250220,0,0
2011-04-25,0,250220,0,0
2011-04-26,14458,235762,0,0
2011-04-27,17658,218104,0,0
2011-04-28,13106,204998,0,0
2011-04-29,0,204998,0,0
2011-04-30,0,204998,0,0
2011-05-01,3814,201184,0,0
2011-05-02,0,201184,0,0
2011-05-03,11134,190050,0,0
2011-05-04,17359,172691,0,0
2011-05-05,16188,156503,0,0
2011-05-06,18285,138218,0,39638
2011-05-07,0,138218,0,39638
2011-05-08,10621,127597,0,39638
2011-05-09,11679,115918,0,39638
2011-05-10,16381,99537,0,39638
2011-05-11,18422,81115,0,39638
2011-05-12,37090,44025,0,39638
2011-05-13,13265,70398,0,39638
2011-05-14,0,110036,0,39638
2011-05-15,4768,144906,0,39638
2011-05-16,15135,169409,0,0
2011-05-17,25164,183883,0,0
2011-05-18,18591,204930,0,0
2011-05-19,17160,227408,0,0
2011-05-20,15063,251983,0,0
2011-05-21,0,291621,0,0
2011-05-22,12642,318617,0,0
2011-05-23,17479,301138,0,0
2011-05-24,14577,286561,0,0
2011-05-25,12435,274126,0,0
2011-05-26,16146,257980,0,0
2011-05-27,14828,243152,0,0
2011-05-28,0,243152,0,0
2011-05-29,4067,239085,0,0
2011-05-30,0,239085,0,0
2011-05-31,10568,228517,0,0
2011-06-01,9555,218962,0,0
2011-06-02,13703,205259,0,0
2011-06-03,7237,198022,0,0
2011-06-04,0,198022,0,0
2011-06-05,13397,184625,0,0
2011-06-06,9139,175486,0,0
2011-06-07,17659,157827,0,0
2011-06-08,18809,139018,0,39638
2011-06-09,27153,111865,0,39638
2011-06-10,9833,102032,0,39638
2011-06-11,0,102032,0,39638
2011-06-12,9454,92578,0,39638
2011-06-13,10653,81925,0,39638
2011-06-14,12960,68965,0,39638
2011-06-15,29446,79157,0,39638
2011-06-16,19616,99179,0,39638
2011-06-17,11345,127472,0,39638
2011-06-18,0,167110,0,0
2011-06-19,15069,191679,0,0
2011-06-20,14865,216452,0,0
2011-06-21,13122,242968,0,0
2011-06-22,15269,267337,0,0
2011-06-23,13972,293003,0,0
2011-06-24,9063,323578,0,0
2011-06-25,0,323578,0,0
2011-06-26,3760,319818,0,0
2011-06-27,9151,310667,0,0
2011-06-28,20821,289846,0,0
2011-06-29,7468,282378,0,0
2011-06-30,20495,261883,0,0
2011-07-01,7433,254450,0,0
2011-07-02,0,254450,0,0
2011-07-03,3091,251359,0,0
2011-07-04,12056,239303,0,0
2011-07-05,17631,221672,0,0
2011-07-06,17805,203867,0,0
2011-07-07,17638,186229,0,0
2011-07-08,10153,176076,0,0
2011-07-09,0,176076,0,0
2011-07-10,4204,171872,0,0
2011-07-11,14097,157775,0,0
2011-07-12,11537,146238,0,39638
2011-07-13,15251,130987,0,39638
2011-07-14,17049,113938,0,39638
2011-07-15,6359,107579,0,39638
2011-07-16,0,107579,0,39638
2011-07-17,10809,96770,0,39638
2011-07-18,12701,84069,0,39638
2011-07-19,28400,95307,0,39638
2011-07-20,15341,119604,0,39638
2011-07-21,19533,139709,0,39638
2011-07-22,8325,171022,0,0
2011-07-23,0,210660,0,0
2011-07-24,17569,232729,0,0
2011-07-25,14271,258096,0,0
2011-07-26,12637,285097,0,0
2011-07-27,13224,311511,0,0
2011-07-28,29683,321466,0,0
2011-07-29,11165,310301,0,0
2011-07-30,0,310301,0,0
2011-07-31,19398,290903,0,0
2011-08-01,11256,279647,0,0
2011-08-02,14223,265424,0,0
2011-08-03,16125,249299,0,0
2011-08-04,40092,209207,0,0
2011-08-05,12162,197045,0,0
2011-08-06,0,197045,0,0
2011-08-07,5174,191871,0,0
2011-08-08,12430,179441,0,0
2011-08-09,15821,163620,0,0
2011-08-10,12326,151294,0,39638
2011-08-11,36444,114850,0,39638
2011-08-12,11049,103801,0,39638
2011-08-13,0,103801,0,39638
2011-08-14,3172,100629,0,39638
2011-08-15,10173,90456,0,39638
2011-08-16,10461,79995,0,39638
2011-08-17,24794,94839,0,39638
2011-08-18,34016,100461,0,39638
2011-08-19,10663,129436,0,39638
2011-08-20,0,169074,0,0
2011-08-21,8075,200637,0,0
2011-08-22,15527,224748,0,0
2011-08-23,13698,250688,0,0
2011-08-24,27328,262998,0,0
2011-08-25,13151,289485,0,0
2011-08-26,16763,312360,0,0
2011-08-27,0,312360,0,0
2011-08-28,6701,305659,0,0
2011-08-29,0,305659,0,0
2011-08-30,4207,301452,0,0
2011-08-31,11542,289910,0,0
2011-09-01,27850,262060,0,0
2011-09-02,15375,246685,0,0
2011-09-03,0,246685,0,0
2011-09-04,10863,235822,0,0
2011-09-05,22266,213556,0,0
2011-09-06,14451,199105,0,0
2011-09-07,13731,185374,0,0
2011-09-08,15979,169395,0,0
2011-09-09,15989,153406,0,39638
2011-09-10,0,153406,0,39638
2011-09-11,20906,132500,0,39638
2011-09-12,16323,116177,0,39638
2011-09-13,35000,81177,0,39638
2011-09-14,13433,67744,0,39638
2011-09-15,27638,40106,0,39638
2011-09-16,14125,65619,0,39638
2011-09-17,0,105257,0,39638
2011-09-18,8937,135958,0,39638
2011-09-19,29241,146355,0,39638
2011-09-20,42599,143394,0,39638
2011-09-21,19615,163417,0,0
2011-09-22,32749,170306,0,0
2011-09-23,19786,190158,0,0
2011-09-24,0,229796,0,0
2011-09-25,19424,250010,0,0
2011-09-26,15238,274410,0,0
2011-09-27,19505,294543,0,0
2011-09-28,24026,270517,0,0
2011-09-29,26957,243560,0,0
2011-09-30,21646,221914,0,0
2011-10-01,0,221914,0,0
2011-10-02,8322,213592,0,0
2011-10-03,24553,189039,0,0
2011-10-04,23016,166023,0,0
2011-10-05,45854,120169,0,39638
2011-10-06,34513,85656,0,39638
2011-10-07,29636,56020,0,39638
2011-10-08,0,56020,0,39638
2011-10-09,7263,48757,0,39638
2011-10-10,24990,23767,0,39638
2011-10-11,26633,0,2866,39638
2011-10-12,16151,23487,0,39638
2011-10-13,17813,45312,0,39638
2011-10-14,17189,67761,0,39638
2011-10-15,0,107399,0,39638
2011-10-16,8649,138388,0,39638
2011-10-17,30056,147970,0,39638
2011-10-18,26865,160743,0,0
2011-10-19,18185,182196,0,0
2011-10-20,40833,181001,0,0
2011-10-21,24211,196428,0,0
2011-10-22,0,236066,0,0
2011-10-23,6953,268751,0,0
2011-10-24,23661,284728,0,0
2011-10-25,25608,259120,0,0
2011-10-26,20101,239019,0,0
2011-10-27,32418,206601,0,0
2011-10-28,22966,183635,0,0
2011-10-29,0,183635,0,0
2011-10-30,19943,163692,0,0
2011-10-31,15161,148531,0,39638
2011-11-01,16530,132001,0,39638
2011-11-02,26592,105409,0,39638
2011-11-03,33435,71974,0,39638
2011-11-04,33416,38558,0,39638
2011-11-05,0,38558,0,39638
2011-11-06,23085,15473,0,39638
2011-11-07,16358,38753,0,39638
2011-11-08,21582,56809,0,39638
2011-11-09,36588,59859,0,39638
2011-11-10,37955,61542,0,39638
2011-11-11,23844,77336,0,39638
2011-11-12,0,116974,0,39638
2011-11-13,19610,137002,0,39638
2011-11-14,32050,144590,0,39638
2011-11-15,26773,157455,0,0
2011-11-16,29010,168083,0,0
2011-11-17,30235,177486,0,0
2011-11-18,20224,196900,0,0
2011-11-19,0,236538,0,0
2011-11-20,18457,257719,0,0
2011-11-21,24494,272863,0,0
2011-11-22,31596,241267,0,0
2011-11-23,38287,202980,0,0
2011-11-24,22812,180168,0,0
2011-11-25,14142,166026,0,0
2011-11-26,0,166026,0,0
2011-11-27,10307,155719,0,0
2011-11-28,27932,127787,0,39638
2011-11-29,25886,101901,0,39638
2011-11-30,24423,77478,0,39638
2011-12-01,24810,52668,0,39638
2011-12-02,25524,27144,0,39638
2011-12-03,0,27144,0,39638
2011-12-04,11321,15823,0,39638
2011-12-05,38347,17114,0,39638
2011-12-06,27736,29016,0,39638
2011-12-07,41011,27643,0,39638
2011-12-08,27476,39805,0,39638
2011-12-09,90553,0,11110,39638
