Date,total_revenue,total_quantity,transaction_count,unique_customers,avg_order_value,revenue_ma4,revenue_ma8,revenue_lag1,revenue_lag4,week_of_year,month
2010-11-29,278013.29000000004,153684.0,657.0,593.0,360.2751077709745,273980.888,255240.354,250370.901,190506.63,48,11
2010-12-06,229443.53,123995.0,612.0,502.0,323.553885054279,262798.86775000003,252919.07275,278013.29000000004,274171.611,49,12
2010-12-13,209188.13999999998,100053.0,459.0,408.0,398.9235544533681,241753.96525,242162.26775,229443.53,293367.75,50,12
2010-12-20,155136.84,94294.0,387.0,346.0,340.7210949065232,217945.44999999998,235024.8365,209188.13999999998,250370.901,51,12
2010-12-27,26460.45,17356.0,58.0,51.0,181.5787608376684,155057.24000000002,214519.06399999998,155136.84,278013.29000000004,52,12
2011-01-03,0.0,0.0,0.0,0.0,0.0,97696.3575,180247.612625,26460.45,229443.53,1,1
2011-01-10,129967.63,79480.0,258.0,249.0,424.9287280907275,77891.23,159822.59762500002,0.0,209188.13999999998,2,1
2011-01-17,155541.07,76140.0,245.0,234.0,513.1738893650235,77992.2875,147968.86875000002,129967.63,155136.84,3,1
2011-01-24,176527.05,132126.0,204.0,196.0,761.8704719551962,115508.9375,135283.08875,155541.07,26460.45,4,1
2011-01-31,106065.56,60727.0,280.0,264.0,320.734867612632,142025.32749999998,119860.8425,176527.05,0.0,5,1
2011-02-07,110532.35,61187.0,253.0,243.0,368.90879943467786,137166.5075,107528.86875,106065.56,129967.63,6,2
2011-02-14,87444.36,51212.0,195.0,188.0,379.18496427663365,120142.32999999999,99067.30875,110532.35,155541.07,7,2
2011-02-21,135425.14,84762.0,264.0,244.0,454.02574563566446,109866.8525,112687.89499999999,87444.36,176527.05,8,2
2011-02-28,112683.07,67866.0,285.0,270.0,334.1587261154433,111521.23,126773.27875,135425.14,106065.56,9,2
2011-03-07,122607.98999999999,68337.0,274.0,249.0,382.9805550355007,114540.13999999998,125853.32375,112683.07,110532.35,10,3
2011-03-14,117812.41,69201.0,259.0,233.0,371.99126949031364,122132.1525,121137.24125,122607.98999999999,87444.36,11,3
2011-03-21,127823.59,75916.0,304.0,288.0,357.1312712647338,120231.76499999998,115049.30875000001,117812.41,135425.14,12,3
2011-03-28,133502.29,74960.0,309.0,286.0,361.58945943506603,125436.56999999998,118478.90000000001,127823.59,112683.07,13,3
2011-04-04,152693.91999999998,95954.0,316.0,292.0,412.0322898885582,132958.0525,123749.09625,133502.29,122607.98999999999,14,4
2011-04-11,110879.42,64251.0,300.0,286.0,320.155745605142,131224.80499999996,126678.47875000001,152693.91999999998,117812.41,15,4
2011-04-18,158422.491,97279.0,347.0,318.0,383.7962107104053,138874.53024999998,129553.14762499998,110879.42,127823.59,16,4
2011-04-25,72298.03,47828.0,186.0,174.0,165.83435562859813,123573.46524999998,124505.017625,158422.491,133502.29,17,4
2011-05-02,73374.06,49036.0,193.0,178.0,217.9185943991176,103743.50024999998,118350.776375,72298.03,152693.91999999998,18,5
2011-05-09,152702.28,85266.0,406.0,362.0,325.7815700634375,114199.21524999998,122712.010125,73374.06,110879.42,19,5
2011-05-16,192672.86,105061.0,388.0,320.0,405.6851019856163,122761.80749999998,130818.168875,152702.28,158422.491,20,5
2011-05-23,191329.77,106099.0,429.0,370.0,385.49346468215424,152519.7425,138046.603875,192672.86,72298.03,21,5
2011-05-30,115544.08,62053.0,263.0,224.0,301.13344499185183,163062.24749999997,133402.873875,191329.77,73374.06,22,5
2011-06-06,118309.4,63599.0,294.0,269.0,353.7434054621416,154464.02749999997,134331.621375,115544.08,152702.28,23,6
2011-06-13,197131.75,93561.0,369.0,343.0,485.0003005354045,155578.75,139170.27875,118309.4,192672.86,24,6
2011-06-20,178116.77,103301.0,348.0,299.0,452.65298725512866,152275.49999999997,152397.62125,197131.75,191329.77,25,6
2011-06-27,99871.43,64337.0,280.0,259.0,302.62774376531985,148357.3375,155709.79249999998,178116.77,115544.08,26,6
2011-07-04,133810.44,71364.0,257.0,223.0,421.4572508812019,152232.59749999997,153348.3125,99871.43,118309.4,27,7
2011-07-11,120289.98000000001,81528.0,321.0,291.0,311.66346035159626,133022.15499999997,144300.4525,133810.44,197131.75,28,7
2011-07-18,120071.53,73706.0,303.0,276.0,334.9810378879323,118510.84499999997,135393.17250000002,120289.98000000001,178116.77,29,7
2011-07-25,164959.36,103439.0,332.0,299.0,418.57790616066814,134782.82749999998,141570.0825,120071.53,99871.43,30,7
2011-08-01,164359.611,97363.0,310.0,280.0,454.44585197510384,142420.12024999998,147326.358875,164959.36,133810.44,31,8
2011-08-08,155908.86000000002,100206.0,301.0,287.0,409.62124223726425,151324.84024999998,142173.49762500002,164359.611,120289.98000000001,32,8
2011-08-15,141036.59,88985.0,266.0,245.0,419.58578775488706,156566.10524999996,137538.475125,155908.86000000002,120071.53,33,8
2011-08-22,180015.71,103536.0,324.0,300.0,463.4780114067251,160330.19275,147556.510125,141036.59,164959.36,34,8
2011-08-29,117978.70000000001,77641.0,285.0,260.0,293.4482256834757,148734.965,145577.542625,180015.71,164359.611,35,8
2011-09-05,149265.88,92103.0,321.0,291.0,387.0802465910987,147074.22,149199.53012500002,117978.70000000001,155908.86000000002,36,9
2011-09-12,158549.91,97379.0,379.0,341.0,361.6623535992563,151452.55,154009.327625,149265.88,141036.59,37,9
2011-09-19,227529.72999999998,128374.0,349.0,321.0,538.950322365026,163331.055,161830.623875,158549.91,180015.71,38,9
2011-09-26,291768.80199999997,149411.0,443.0,404.0,578.6490489793956,206778.58049999998,177756.77274999997,227529.72999999998,117978.70000000001,39,9
2011-10-03,226531.99,125009.0,427.0,372.0,453.74003648776164,226095.10799999995,186584.664,291768.80199999997,149265.88,40,10
2011-10-10,277033.97,165272.0,497.0,437.0,457.64236635010036,255716.12299999996,203584.33649999998,226531.99,158549.91,41,10
2011-10-17,207614.8,116491.0,424.0,378.0,429.65289562130823,250737.39049999998,207034.22275,277033.97,227529.72999999998,42,10
2011-10-24,246804.81,140708.0,417.0,376.0,495.9119452313329,239496.39249999996,223137.4865,207614.8,291768.80199999997,43,10
2011-10-31,230565.82,136197.0,492.0,442.0,408.96820731283043,240504.84999999998,233299.979,246804.81,226531.99,44,10
2011-11-07,254969.88,149416.0,537.0,481.0,404.46485765484607,234988.82749999998,245352.47525,230565.82,277033.97,45,11
2011-11-14,293172.82,171629.0,622.0,563.0,395.0998338499099,256378.33250000002,253557.8615,254969.88,207614.8,46,11
2011-11-21,262823.77,149193.0,661.0,603.0,340.5110627207957,260383.0725,249939.7325,293172.82,246804.81,47,11
2011-11-28,254664.78,145076.0,612.0,542.0,343.35196676390206,266407.8125,253456.33125000002,262823.77,230565.82,48,11
2011-12-05,257281.91999999998,150311.0,635.0,570.0,342.5862593752316,266985.8225,250987.325,254664.78,254969.88,49,12
2011-12-12,349963.88,186776.0,368.0,337.0,1506.5082503705555,281183.5875,268780.96,257281.91999999998,293172.82,50,12
