Customer ID,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,segment_label,is_churned,churn_probability,churn_risk
12398,46,1,1635.66,4,1,4,9,414,New Customers,0,0.00045565024,Low Risk
12399,119,7,1962.3,3,4,4,11,344,Loyal Customers,1,0.9996159,High Risk
12400,414,1,205.25,1,1,1,3,111,Lost,1,0.9996289,High Risk
12401,303,1,84.3,2,1,1,4,211,Lost,1,0.9996289,High Risk
12402,323,6,1256.9,2,4,4,10,244,At Risk,1,0.9996588,High Risk
12403,50,2,1019.36,4,2,3,9,423,New Customers,0,0.00036926035,Low Risk
12404,682,1,63.24,1,1,1,3,111,Lost,1,0.9996289,High Risk
12405,149,1,1710.39,3,1,4,8,314,Others,1,0.9996271,High Risk
12406,22,5,6390.36,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12407,50,5,1708.12,4,4,4,12,444,Champions,0,0.00067572953,Low Risk
12408,33,8,4340.77,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12409,79,7,23419.29,3,4,5,12,345,Loyal Customers,0,0.0002199083,Low Risk
12410,309,3,1013.71,2,3,3,8,233,At Risk,1,0.99958855,High Risk
12411,410,1,346.9,2,1,2,5,212,Lost,1,0.9996289,High Risk
12412,75,6,2596.93,3,4,4,11,344,Loyal Customers,0,0.00030059286,Low Risk
12413,67,4,999.45,3,3,3,9,333,Loyal Customers,0,0.00036926035,Low Risk
12414,217,6,952.41,2,4,3,9,243,At Risk,1,0.99973327,High Risk
12415,24,28,144458.37,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12416,657,1,202.56,1,1,1,3,111,Lost,1,0.9996289,High Risk
12417,3,20,6797.41,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12418,113,4,2021.2,3,3,4,10,334,Loyal Customers,1,0.99926585,High Risk
12419,386,2,503.01,2,2,2,6,222,Lost,1,0.9996289,High Risk
12420,64,1,600.39,3,1,2,6,312,Others,0,0.0004902948,Low Risk
12421,16,6,1098.6,5,4,3,12,543,Loyal Customers,0,0.00056754524,Low Risk
12422,96,17,5231.8,3,5,5,13,355,Loyal Customers,1,0.99921155,High Risk
12423,1,10,2622.39,5,5,4,14,554,Champions,0,0.0002199083,Low Risk
12424,163,4,3340.03,3,3,5,11,335,Loyal Customers,1,0.99914396,High Risk
12425,78,2,1741.41,3,2,4,9,324,Others,0,0.00045565024,Low Risk
12426,195,2,1345.21,2,2,4,8,224,Cant Lose Them,1,0.9994004,High Risk
12427,22,3,825.8,4,3,3,10,433,Loyal Customers,0,0.00036926035,Low Risk
12428,26,9,7956.46,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12429,9,8,6204.41,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12430,43,1,256.4,4,1,1,6,411,New Customers,0,0.0004902948,Low Risk
12431,36,27,10432.22,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12432,43,5,5059.32,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12433,1,10,16794.14,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12434,85,3,1103.43,3,3,3,9,333,Loyal Customers,0,0.00036926035,Low Risk
12435,80,6,13925.93,3,4,5,12,345,Loyal Customers,0,0.0002199083,Low Risk
12436,100,1,509.01,3,1,2,6,312,Others,1,0.9996289,High Risk
12437,2,39,12683.4,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12438,14,2,2906.85,5,2,4,11,524,New Customers,0,0.00020254405,Low Risk
12439,683,2,1142.88,1,2,3,6,123,Cant Lose Them,1,0.99958855,High Risk
12440,462,2,859.2,1,2,3,6,123,Cant Lose Them,1,0.99958855,High Risk
12441,367,1,173.55,2,1,1,4,211,Lost,1,0.9996289,High Risk
12442,3,1,172.06,5,1,1,7,511,New Customers,0,0.0004902948,Low Risk
12443,732,1,485.31,1,1,2,4,112,Lost,1,0.9996289,High Risk
12444,21,5,5005.46,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12445,22,2,434.98,4,2,2,8,422,New Customers,0,0.0004902948,Low Risk
12446,58,1,1002.31,4,1,3,8,413,New Customers,0,0.0004422136,Low Risk
12447,243,1,476.49,2,1,2,5,212,Lost,1,0.9996289,High Risk
12448,44,1,449.45,4,1,2,7,412,New Customers,0,0.0004902948,Low Risk
12449,22,6,4835.89,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12450,156,5,688.2,3,4,3,10,343,Loyal Customers,1,0.99973327,High Risk
12451,11,8,12669.88,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12452,17,2,430.57,5,2,2,9,522,New Customers,0,0.0004094127,Low Risk
12453,134,1,707.09,3,1,3,7,313,Others,1,0.9995913,High Risk
12454,56,5,16679.78,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12455,73,10,5879.95,3,5,5,13,355,Loyal Customers,0,0.0002199083,Low Risk
12456,44,3,3181.04,4,3,5,12,435,Loyal Customers,0,0.0001757982,Low Risk
12457,66,8,2995.91,3,4,5,12,345,Loyal Customers,0,0.0002199083,Low Risk
12458,71,4,1777.49,3,3,4,10,334,Loyal Customers,0,0.00045565024,Low Risk
12459,605,1,454.36,1,1,2,4,112,Lost,1,0.9996289,High Risk
12460,456,1,326.65,1,1,2,4,112,Lost,1,0.9996289,High Risk
12461,94,2,826.88,3,2,3,8,323,Others,1,0.99958855,High Risk
12462,19,2,1189.59,5,2,3,10,523,New Customers,0,0.00036926035,Low Risk
12463,53,4,1344.78,4,3,4,11,434,Loyal Customers,0,0.0002645812,Low Risk
12464,10,8,1212.05,5,4,3,12,543,Loyal Customers,0,0.00056754524,Low Risk
12465,17,2,742.1899999999999,5,2,3,10,523,New Customers,0,0.00037169023,Low Risk
12466,682,1,56.73,1,1,1,3,111,Lost,1,0.9996289,High Risk
12467,423,1,132.8,1,1,1,3,111,Lost,1,0.9996289,High Risk
12468,188,5,3670.74,3,4,5,12,345,Loyal Customers,1,0.99921155,High Risk
12469,523,2,3070.54,1,2,5,8,125,Cant Lose Them,1,0.99928516,High Risk
12470,690,1,211.95,1,1,1,3,111,Lost,1,0.9996289,High Risk
12471,2,79,39918.19,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12472,32,19,16249.29,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12473,29,5,3928.05,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12474,17,31,12372.75,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12475,54,2,1149.64,4,2,3,9,423,New Customers,0,0.00036926035,Low Risk
12476,16,23,14083.91,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12477,23,9,20276.37,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12478,4,1,680.99,5,1,3,9,513,New Customers,0,0.00038218443,Low Risk
12479,11,1,527.2,5,1,2,8,512,New Customers,0,0.0004902948,Low Risk
12480,28,7,5464.85,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12481,23,15,12185.51,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12482,576,29,23691.4,1,5,5,11,155,At Risk,1,0.99942315,High Risk
12483,17,19,5097.18,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12484,33,12,6354.1,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12485,529,1,708.1,1,1,3,5,113,Cant Lose Them,1,0.9995913,High Risk
12486,432,1,1037.28,1,1,3,5,113,Cant Lose Them,1,0.99958855,High Risk
12487,731,1,285.29999999999995,1,1,1,3,111,Lost,1,0.9996289,High Risk
12488,10,3,1298.66,5,3,4,12,534,Loyal Customers,0,0.0002505981,Low Risk
12489,336,1,334.93,2,1,2,5,212,Lost,1,0.9996289,High Risk
12490,5,21,9823.64,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12491,39,1,460.4,4,1,2,7,412,New Customers,0,0.0004902948,Low Risk
12492,63,3,715.21,3,3,3,9,333,Loyal Customers,0,0.00037169023,Low Risk
12493,166,2,433.74,3,2,2,7,322,Others,1,0.9996289,High Risk
12494,16,9,1815.27,5,5,4,14,554,Champions,0,0.00067572953,Low Risk
12495,641,1,357.4,1,1,2,4,112,Lost,1,0.9996289,High Risk
12496,620,2,45.34,1,2,1,4,121,Lost,1,0.9996289,High Risk
12497,82,3,6248.5,3,3,5,11,335,Loyal Customers,0,0.00020254405,Low Risk
12498,21,3,403.7000000000001,4,3,2,9,432,Potential Loyalists,0,0.0004094127,Low Risk
12499,560,1,393.72,1,1,2,4,112,Lost,1,0.9996289,High Risk
12500,23,19,5955.21,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12501,337,1,2169.39,2,1,4,7,214,Cant Lose Them,1,0.9993869,High Risk
12502,96,5,3723.87,3,4,5,12,345,Loyal Customers,1,0.99921155,High Risk
12503,584,1,1126.0,1,1,3,5,113,Cant Lose Them,1,0.99958855,High Risk
12504,18,4,779.05,5,3,3,11,533,Loyal Customers,0,0.00036926035,Low Risk
12505,409,1,955.2,2,1,3,6,213,Cant Lose Them,1,0.99958855,High Risk
12506,233,1,73.5,2,1,1,4,211,Lost,1,0.9996289,High Risk
12507,134,4,1844.06,3,3,4,10,334,Loyal Customers,1,0.9992907,High Risk
12508,26,2,397.88,4,2,2,8,422,New Customers,0,0.0004902948,Low Risk
12509,284,1,176.5,2,1,1,4,211,Lost,1,0.9996289,High Risk
12510,143,9,5178.02,3,5,5,13,355,Loyal Customers,1,0.99921155,High Risk
12511,429,1,3084.02,1,1,5,7,115,Cant Lose Them,1,0.99928516,High Risk
12512,66,2,132.18,3,2,1,6,321,Others,0,0.0004902948,Low Risk
12513,113,1,612.29,3,1,3,7,313,Others,1,0.9996289,High Risk
12514,267,2,1597.76,2,2,4,8,224,Cant Lose Them,1,0.9996271,High Risk
12515,353,1,383.7,2,1,2,5,212,Lost,1,0.9996289,High Risk
12516,78,4,2648.62,3,3,4,10,334,Loyal Customers,0,0.00020254405,Low Risk
12517,28,5,2481.6,4,4,4,12,444,Champions,0,0.0002199083,Low Risk
12518,1,5,2056.89,5,4,4,13,544,Champions,0,0.00030680475,Low Risk
12519,64,2,716.54,3,2,3,8,323,Others,0,0.00044512333,Low Risk
12520,79,5,2634.26,3,4,4,11,344,Loyal Customers,0,0.00030059286,Low Risk
12521,143,1,599.68,3,1,2,6,312,Others,1,0.9996289,High Risk
12522,39,2,192.72,4,2,1,7,421,New Customers,0,0.0004902948,Low Risk
12523,19,23,4352.35,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12524,9,17,11126.11,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12525,498,3,973.73,1,3,3,7,133,At Risk,1,0.99958855,High Risk
12526,1,3,1316.66,5,3,4,12,534,Loyal Customers,0,0.0002505981,Low Risk
12527,82,5,735.51,3,4,3,10,343,Loyal Customers,0,0.0007484747,Low Risk
12528,9,6,1933.48,5,4,4,13,544,Champions,0,0.00042543272,Low Risk
12529,528,1,316.48,1,1,2,4,112,Lost,1,0.9996289,High Risk
12530,60,9,3759.26,3,5,5,13,355,Loyal Customers,0,0.0002199083,Low Risk
12531,15,2,1933.2,5,2,4,11,524,New Customers,0,0.00028684916,Low Risk
12532,30,1,349.83000000000004,4,1,2,7,412,New Customers,0,0.0004902948,Low Risk
12533,628,2,1367.89,1,2,4,7,124,Cant Lose Them,1,0.99946004,High Risk
12534,131,1,1089.18,3,1,3,7,313,Others,1,0.99958855,High Risk
12535,92,2,716.35,3,2,3,8,323,Others,1,0.9995913,High Risk
12536,43,3,12601.830000000002,4,3,5,12,435,Loyal Customers,0,0.0001757982,Low Risk
12537,409,1,732.94,2,1,3,6,213,Cant Lose Them,1,0.9995913,High Risk
12538,29,2,640.45,4,2,3,9,423,New Customers,0,0.0004094127,Low Risk
12539,22,7,11214.75,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12540,20,33,22254.49,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12541,30,3,981.18,4,3,3,10,433,Loyal Customers,0,0.00036926035,Low Risk
12542,484,2,481.88,1,2,2,5,122,Lost,1,0.9996289,High Risk
12543,448,1,980.25,1,1,3,5,113,Cant Lose Them,1,0.99958855,High Risk
12544,36,1,372.7,4,1,2,7,412,New Customers,0,0.0004902948,Low Risk
12545,75,2,1000.39,3,2,3,8,323,Others,0,0.0004422136,Low Risk
12546,47,2,1161.5,4,2,3,9,423,New Customers,0,0.00036926035,Low Risk
12547,198,3,383.58,2,3,2,7,232,Others,1,0.9996289,High Risk
12548,166,1,95.2,3,1,1,5,311,Others,1,0.9996289,High Risk
12549,576,6,1575.68,1,4,4,9,144,At Risk,1,0.9997583,High Risk
12550,79,1,964.83,3,1,3,7,313,Others,0,0.0004422136,Low Risk
12551,358,1,168.0,2,1,1,4,211,Lost,1,0.9996289,High Risk
12552,39,2,437.82,4,2,2,8,422,New Customers,0,0.0004902948,Low Risk
12553,8,12,4608.75,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12554,449,1,468.5,1,1,2,4,112,Lost,1,0.9996289,High Risk
12555,682,1,129.23,1,1,1,3,111,Lost,1,0.9996289,High Risk
12556,50,2,599.56,4,2,2,8,422,New Customers,0,0.0004902948,Low Risk
12557,16,8,18096.14,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12558,8,1,269.96,5,1,1,7,511,New Customers,0,0.0004902948,Low Risk
12559,311,2,561.71,2,2,2,6,222,Lost,1,0.9996289,High Risk
12560,5,3,2134.01,5,3,4,12,534,Loyal Customers,0,0.00020499185,Low Risk
12561,303,1,238.85,2,1,1,4,211,Lost,1,0.9996289,High Risk
12562,8,9,4966.92,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12563,409,1,249.24,2,1,1,4,211,Lost,1,0.9996289,High Risk
12564,261,1,456.9,2,1,2,5,212,Lost,1,0.9996289,High Risk
12565,289,1,145.92,2,1,1,4,211,Lost,1,0.9996289,High Risk
12566,86,1,351.65,3,1,2,6,312,Others,0,0.0004902948,Low Risk
12567,23,15,11767.48,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12568,645,1,70.0,1,1,1,3,111,Lost,1,0.9996289,High Risk
12569,2,32,4124.69,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12570,682,1,77.52,1,1,1,3,111,Lost,1,0.9996289,High Risk
12571,40,2,519.61,4,2,2,8,422,New Customers,0,0.0004902948,Low Risk
12572,9,2,1020.42,5,2,3,10,523,New Customers,0,0.00036926035,Low Risk
12573,227,5,717.41,2,4,3,9,243,At Risk,1,0.99973327,High Risk
12574,316,1,218.45,2,1,1,4,211,Lost,1,0.9996289,High Risk
12575,457,2,622.8199999999999,1,2,3,6,123,Cant Lose Them,1,0.9996289,High Risk
12576,36,8,2142.72,4,4,4,12,444,Champions,0,0.00030680475,Low Risk
12577,35,8,1617.1,4,4,4,12,444,Champions,0,0.00067572953,Low Risk
12578,21,4,4642.45,4,3,5,12,435,Loyal Customers,0,0.0001757982,Low Risk
12579,78,1,440.42,3,1,2,6,312,Others,0,0.0004902948,Low Risk
12580,247,2,1052.9,2,2,3,7,223,Cant Lose Them,1,0.99958855,High Risk
12581,40,1,197.71,4,1,1,6,411,New Customers,0,0.0004902948,Low Risk
12582,239,4,1980.4,2,3,4,9,234,At Risk,1,0.9992907,High Risk
12583,3,27,13591.58,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12584,4,9,2338.15,5,5,4,14,554,Champions,0,0.0002199083,Low Risk
12585,234,2,2040.1,2,2,4,8,224,Cant Lose Them,1,0.9993869,High Risk
12586,17,4,2062.67,5,3,4,12,534,Loyal Customers,0,0.00020499185,Low Risk
12587,8,1,144.0,5,1,1,7,511,New Customers,0,0.0004902948,Low Risk
12588,39,4,958.78,4,3,3,10,433,Loyal Customers,0,0.00036926035,Low Risk
12589,29,8,4695.66,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12590,211,2,9864.26,2,2,5,9,225,Cant Lose Them,1,0.99914396,High Risk
12591,317,3,1338.95,2,3,4,9,234,At Risk,1,0.9993124,High Risk
12592,92,5,2582.66,3,4,4,11,344,Loyal Customers,1,0.99942315,High Risk
12593,109,3,418.1,3,3,2,8,332,Potential Loyalists,1,0.9996289,High Risk
12594,38,15,5090.110000000001,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12595,505,1,299.02,1,1,2,4,112,Lost,1,0.9996289,High Risk
12596,51,2,618.27,4,2,3,9,423,New Customers,0,0.0004094127,Low Risk
12597,19,4,3811.22,5,3,5,13,535,Loyal Customers,0,0.0001757982,Low Risk
12598,10,11,4534.09,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12599,29,13,2296.72,4,5,4,13,454,Champions,0,0.0002199083,Low Risk
12600,29,21,4967.42,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12601,190,6,681.26,2,4,3,9,243,At Risk,1,0.99974054,High Risk
12602,59,1,153.12,4,1,1,6,411,New Customers,0,0.0004902948,Low Risk
12603,22,1,739.1999999999999,4,1,3,8,413,New Customers,0,0.00044512333,Low Risk
12604,79,2,254.18,3,2,1,6,321,Others,0,0.0004902948,Low Risk
12605,376,4,1232.95,2,3,4,9,234,At Risk,1,0.9997044,High Risk
12606,682,1,21.0,1,1,1,3,111,Lost,1,0.9996289,High Risk
12607,60,1,1579.51,3,1,4,8,314,Others,0,0.0005456619,Low Risk
12608,405,1,415.79,2,1,2,5,212,Lost,1,0.9996289,High Risk
12609,78,9,3435.86,3,5,5,13,355,Loyal Customers,0,0.0002199083,Low Risk
12610,23,5,2099.54,4,4,4,12,444,Champions,0,0.00030680475,Low Risk
12611,52,1,1193.32,4,1,3,8,413,New Customers,0,0.0004422136,Low Risk
12612,74,1,704.0400000000001,3,1,3,7,313,Others,0,0.00044512333,Low Risk
12613,57,10,6817.37,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12614,278,1,315.6,2,1,2,5,212,Lost,1,0.9996289,High Risk
12615,2,8,5740.98,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12616,95,3,1131.1,3,3,3,9,333,Loyal Customers,1,0.9995073,High Risk
12617,29,1,352.98,4,1,2,7,412,New Customers,0,0.0004902948,Low Risk
12618,22,1,177.31,4,1,1,6,411,New Customers,0,0.0004902948,Low Risk
12619,16,10,3781.38,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12620,15,3,1339.41,5,3,4,12,534,Loyal Customers,0,0.00022964615,Low Risk
12621,2,35,24311.2,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12622,232,1,180.1,2,1,1,4,211,Lost,1,0.9996289,High Risk
12623,276,7,3747.84,2,4,5,11,245,At Risk,1,0.99942315,High Risk
12624,106,2,641.13,3,2,3,8,323,Others,1,0.9996166,High Risk
12625,212,4,5164.88,2,3,5,10,235,At Risk,1,0.99914396,High Risk
12626,23,9,6620.48,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12627,11,7,4478.53,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12628,4,3,786.46,5,3,3,11,533,Loyal Customers,0,0.00036926035,Low Risk
12629,386,2,1558.22,2,2,4,8,224,Cant Lose Them,1,0.9996271,High Risk
12630,10,2,1270.88,5,2,4,11,524,New Customers,0,0.00028871957,Low Risk
12631,57,6,3481.57,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12632,521,2,804.88,1,2,3,6,123,Cant Lose Them,1,0.99958855,High Risk
12633,59,7,5678.16,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12634,536,2,490.0,1,2,2,5,122,Lost,1,0.9996289,High Risk
12635,90,4,2930.41,3,3,5,11,335,Loyal Customers,0,0.012547921,Low Risk
12636,739,1,141.0,1,1,1,3,111,Lost,1,0.9996289,High Risk
12637,67,12,8283.81,3,5,5,13,355,Loyal Customers,0,0.0002199083,Low Risk
12638,33,2,921.49,4,2,3,9,423,New Customers,0,0.00036926035,Low Risk
12639,239,3,1312.37,2,3,4,9,234,At Risk,1,0.9993699,High Risk
12640,24,3,1174.58,4,3,3,10,433,Loyal Customers,0,0.00036926035,Low Risk
12641,115,1,185.9,3,1,1,5,311,Others,1,0.9996289,High Risk
12642,25,3,1013.26,4,3,3,10,433,Loyal Customers,0,0.00036926035,Low Risk
12643,128,12,8304.82,3,5,5,13,355,Loyal Customers,1,0.99921155,High Risk
12644,130,4,1918.49,3,3,4,10,334,Loyal Customers,1,0.9992907,High Risk
12645,34,8,3539.3,4,4,5,13,445,Champions,0,0.0002199083,Low Risk
12646,5,2,1346.97,5,2,4,11,524,New Customers,0,0.0002833034,Low Risk
12647,22,36,16955.55,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12648,155,4,1112.0,3,3,3,9,333,Loyal Customers,1,0.9995073,High Risk
12649,107,8,2294.65,3,4,4,11,344,Loyal Customers,1,0.99942315,High Risk
12650,3,1,314.44,5,1,2,8,512,New Customers,0,0.0004902948,Low Risk
12651,335,4,377.75,2,3,2,7,232,Others,1,0.9996289,High Risk
12652,331,2,1017.03,2,2,3,7,223,Cant Lose Them,1,0.99958855,High Risk
12653,149,3,4160.83,3,3,5,11,335,Loyal Customers,1,0.99914396,High Risk
12654,11,5,601.98,5,4,2,11,542,Potential Loyalists,0,0.0008244051,Low Risk
12655,424,1,261.35,1,1,1,3,111,Lost,1,0.9996289,High Risk
12656,17,8,6407.83,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12657,11,4,1643.18,5,3,4,12,534,Loyal Customers,0,0.00039549524,Low Risk
12658,19,1,686.05,5,1,3,9,513,New Customers,0,0.00037169023,Low Risk
12659,30,1,91.68,4,1,1,6,411,New Customers,0,0.0004902948,Low Risk
12660,11,1,245.1,5,1,1,7,511,New Customers,0,0.0004902948,Low Risk
12661,436,1,162.0,1,1,1,3,111,Lost,1,0.9996289,High Risk
12662,1,20,6726.54,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12663,625,2,239.4,1,2,1,4,121,Lost,1,0.9996289,High Risk
12664,8,11,6070.04,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12665,325,3,313.6,2,3,2,7,232,Others,1,0.9996289,High Risk
12666,394,1,1248.42,2,1,4,7,214,Cant Lose Them,1,0.99947387,High Risk
12667,58,1,620.13,4,1,3,8,413,New Customers,0,0.0004902948,Low Risk
12668,12,10,11383.03,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12669,151,3,2744.03,3,3,4,10,334,Loyal Customers,1,0.99914396,High Risk
12670,10,7,3760.29,5,4,5,14,545,Champions,0,0.0002199083,Low Risk
12671,606,1,2622.481,1,1,4,6,114,Cant Lose Them,1,0.99928516,High Risk
12672,330,2,437.05,2,2,2,6,222,Lost,1,0.9996289,High Risk
12673,5,3,1230.02,5,3,4,12,534,Loyal Customers,0,0.0005537925,Low Risk
12674,39,4,1970.6,4,3,4,11,434,Loyal Customers,0,0.00028684916,Low Risk
12675,554,2,957.25,1,2,3,6,123,Cant Lose Them,1,0.99958855,High Risk
12676,25,11,2843.09,4,5,4,13,454,Champions,0,0.0002199083,Low Risk
12677,555,2,395.1,1,2,2,5,122,Lost,1,0.9996289,High Risk
12678,42,21,34281.18,4,5,5,14,455,Champions,0,0.0002199083,Low Risk
12679,59,4,1113.02,4,3,3,10,433,Loyal Customers,0,0.00036926035,Low Risk
12680,1,4,880.81,5,3,3,11,533,Loyal Customers,0,0.00036926035,Low Risk
12681,15,45,29834.76,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
12682,4,52,22950.22,5,5,5,15,555,Champions,0,0.0002199083,Low Risk
